pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[330.0, 335.0]",6563.190072,6589.331258,26.08260239,0.093298,NGC3513,1194,7,30,2,474,13.9,3.75
"[335.0, 340.0]",6563.126855,6589.267789,34.77082331,0.032943,,,,,,,,
"[340.0, 345.0]",6563.214584,6589.355868,33.92760341,0.091829,,,,,,,,
"[360.0, 365.0]",6563.364515,6589.506396,0.126093852,0.164212,,,,,,,,
"[365.0, 370.0]",6563.247636,6589.389052,38.05894446,0.045756,,,,,,,,
"[370.0, 375.0]",6563.268598,6589.410097,57.28779453,0.010538,,,,,,,,
"[375.0, 380.0]",6563.111622,6589.252496,44.75083866,0.013819,,,,,,,,
"[380.0, 385.0]",6563.090834,6589.231625,51.56111762,0.016499,,,,,,,,
"[385.0, 390.0]",6562.962002,6589.10228,125.7173786,0.011204,,,,,,,,
"[390.0, 395.0]",6563.244458,6589.385861,325.658082,0.013598,,,,,,,,
"[395.0, 400.0]",6563.45198,6589.594209,128.2366401,0.011813,,,,,,,,
"[400.0, 405.0]",6563.565241,6589.707921,65.59215104,0.008584,,,,,,,,
"[405.0, 410.0]",6563.507907,6589.650359,64.40017787,0.016099,,,,,,,,
"[410.0, 415.0]",6563.283341,6589.424899,69.6735379,0.009312,,,,,,,,
"[415.0, 420.0]",6563.574464,6589.717181,168.1912973,0.012991,,,,,,,,
"[420.0, 425.0]",6563.261422,6589.402892,62.89443866,0.019372,,,,,,,,
"[425.0, 430.0]",6563.080995,6589.221746,65.36995915,0.011532,,,,,,,,
"[430.0, 435.0]",6563.263411,6589.404889,70.11337835,0.013483,,,,,,,,
"[435.0, 440.0]",6563.264058,6589.405538,62.01994731,0.055108,,,,,,,,
"[440.0, 445.0]",6563.388789,6589.530767,56.79110128,0.0574,,,,,,,,
"[445.0, 450.0]",6563.551181,6589.693805,65.97120381,0.058647,,,,,,,,
"[450.0, 455.0]",6563.644337,6589.787332,76.8384918,0.014889,,,,,,,,
"[455.0, 460.0]",6563.603601,6589.746434,119.4693976,0.009382,,,,,,,,
"[460.0, 465.0]",6563.589383,6589.73216,87.91228278,0.009193,,,,,,,,
"[465.0, 470.0]",6563.727076,6589.870401,194.6527142,0.006914,,,,,,,,
"[470.0, 475.0]",6563.782066,6589.92561,351.2717941,0.006516,,,,,,,,
"[475.0, 480.0]",6563.695609,6589.838808,380.1139647,0.005796,,,,,,,,
"[480.0, 485.0]",6563.648973,6589.791987,224.4286616,0.004898,,,,,,,,
"[485.0, 490.0]",6563.561192,6589.703856,129.8461826,0.006189,,,,,,,,
"[490.0, 495.0]",6563.258332,6589.39979,77.14375526,0.021045,,,,,,,,
"[495.0, 500.0]",6563.354374,6589.496215,56.14635786,0.041173,,,,,,,,
"[505.0, 510.0]",6563.770933,6589.914433,47.89970124,0.038687,,,,,,,,
"[510.0, 515.0]",6563.843286,6589.987074,96.4679014,0.01246,,,,,,,,
"[515.0, 520.0]",6563.73818,6589.881549,140.5485975,0.010784,,,,,,,,
"[520.0, 525.0]",6563.736636,6589.879999,89.3034416,0.010163,,,,,,,,
"[525.0, 530.0]",6563.714471,6589.857746,108.4409164,0.009938,,,,,,,,
"[530.0, 535.0]",6563.910509,6590.054565,51.72370395,0.024247,,,,,,,,
"[535.0, 540.0]",6563.952638,6590.096862,54.06310823,0.040263,,,,,,,,
"[540.0, 545.0]",6563.895049,6590.039043,43.40670588,0.085648,,,,,,,,
"[545.0, 550.0]",6563.887941,6590.031907,0.103538165,0.13796,,,,,,,,
"[550.0, 555.0]",6563.469859,6589.61216,44.91613427,0.050973,,,,,,,,
"[555.0, 560.0]",6563.388375,6589.530351,51.66953891,0.013439,,,,,,,,
"[560.0, 565.0]",6563.667917,6589.811006,40.59161786,0.060524,,,,,,,,
"[565.0, 570.0]",6563.975001,6590.119314,0.108102439,0.140594,,,,,,,,
"[570.0, 575.0]",6564.096427,6590.241223,0.07273838,0.093346,,,,,,,,
"[575.0, 580.0]",6563.928268,6590.072394,56.72086507,0.022795,,,,,,,,
"[580.0, 585.0]",6563.85086,6589.994678,93.29151333,0.009734,,,,,,,,
"[585.0, 590.0]",6563.729068,6589.872401,50.48496439,0.028453,,,,,,,,
"[590.0, 595.0]",6563.613802,6589.756676,56.42801935,0.026384,,,,,,,,
"[595.0, 600.0]",6563.929709,6590.073841,60.3312977,0.019474,,,,,,,,
"[600.0, 605.0]",6563.931482,6590.075621,62.9193337,0.011686,,,,,,,,
"[605.0, 610.0]",6564.014549,6590.159019,50.27440445,0.030481,,,,,,,,
"[610.0, 615.0]",6563.798344,6589.941953,0.129904747,0.16658,,,,,,,,