pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance
"[455.0, 460.0]",6566.807558,6717.988602,17.38968959,0.118074,CGCG039-137,6902,52,72,4,513,101.2
"[460.0, 465.0]",6566.646134,6717.823462,16.5452305,0.030302,,,,,,,
"[465.0, 470.0]",6567.233145,6718.423987,16.40120151,0.021802,,,,,,,
"[470.0, 475.0]",6567.096768,6718.28447,19.49051354,0.042444,,,,,,,
"[475.0, 480.0]",6566.400339,6717.572008,19.24350384,0.03318,,,,,,,
"[480.0, 485.0]",6566.118359,6717.283536,42.51451572,0.01453,,,,,,,
"[485.0, 490.0]",6566.410139,6717.582034,46.25788225,0.023342,,,,,,,
"[490.0, 495.0]",6565.794281,6716.951997,37.53348816,0.030775,,,,,,,
"[495.0, 500.0]",6565.210057,6716.354323,44.90374279,0.018022,,,,,,,
"[500.0, 505.0]",6564.475948,6715.603313,82.76359237,0.012915,,,,,,,
"[505.0, 510.0]",6564.240765,6715.362716,58.14871792,0.014832,,,,,,,
"[510.0, 515.0]",6562.5,6713.5819,0.1414,0.1414,,,,,,,
"[515.0, 520.0]",6561.569367,6712.629817,28.41641273,0.011729,,,,,,,
"[520.0, 525.0]",6561.327042,6712.381914,25.90795708,0.01851,,,,,,,
"[525.0, 530.0]",6561.10918,6712.159036,24.27747392,0.009802,,,,,,,
"[530.0, 535.0]",6560.917881,6711.963333,27.96900644,0.017713,,,,,,,
"[535.0, 540.0]",6560.434643,6711.468969,18.85781764,0.03656,,,,,,,
"[540.0, 545.0]",6561.364641,6712.420378,15.76997034,0.052356,,,,,,,
"[545.0, 550.0]",6560.800945,6711.843704,15.72942209,0.077901,,,,,,,